m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
2,4,2,Mosek,0.001537347212433815,7,true,true,2,"(23.730029687689616, 9.840411688491443e-12)",2,"(27.340880878689877, 2.9171006754845737e-12)",2,"(23.730029668979178, 1.83734159318918e-9)"
4,6,2,Mosek,0.0013305488973855972,7,true,true,4,"(5.829061675248878, 2.858516319170746e-10)",4,"(22.79287625823285, 6.807994406121046e-10)",4,"(5.829061628701623, 2.353267251375881e-8)"
5,8,2,Mosek,0.004501396790146828,7,true,true,5,"(6.138456157340676, 4.932295876807199e-10)",5,"(12.886466100867409, 7.367757968990762e-10)",5,"(6.138456141543349, 4.266749568399198e-9)"
7,10,2,Mosek,0.03257957845926285,7,true,true,7,"(5.990069999091284, 6.242842492778937e-10)",7,"(11.676392634352212, 5.403968597676527e-10)",7,"(5.99006995275441, 2.6395869589908855e-8)"
10,12,2,Mosek,0.07187812961637974,7,true,true,10,"(5.72564092413866, 1.0074791820648083e-10)",10,"(10.229044697941173, 2.940506151572017e-10)",10,"(5.725640907164262, 1.0728457287713083e-8)"
12,14,2,Mosek,0.11498351767659187,7,true,true,12,"(5.770232104109074, 1.0738895064932046e-10)",12,"(7.5833411278303196, 1.3448003616061325e-10)",12,"(5.770232088666295, 1.2406843726474828e-8)"
15,16,2,Mosek,0.19087912142276764,7,true,true,15,"(5.760458052656262, 8.94443209037327e-10)",15,"(6.829703473078426, 9.015646050508224e-10)",15,"(5.760458050281127, 2.965691784007232e-9)"
19,18,2,Mosek,0.5116120334714651,7,true,true,19,"(5.5679805362796335, 7.351923341439886e-10)",19,"(6.593887914502058, 1.0882602404474974e-9)",19,"(5.567980536842232, 9.170878828745512e-11)"
22,20,2,Mosek,2.027868004515767,7,true,true,22,"(5.703748878663396, 6.068593170445805e-9)",22,"(4.044669065166365, 5.992957579397438e-9)",22,"(5.70374888661252, 1.3135509750226024e-11)"
26,22,2,Mosek,5.056512074545026,7,true,true,26,"(5.692523701703994, 3.627573977470421e-11)",26,"(4.77600666706952, 1.954623459135625e-11)",26,"(5.692523700148475, 1.0727592528551753e-9)"
31,24,2,Mosek,10.873012136667967,7,true,true,31,"(5.438127051067527, 2.867114097366537e-10)",31,"(5.291442864363266, 2.413541805724417e-10)",31,"(5.438127050326608, 1.3514456943304778e-9)"
35,26,2,Mosek,29.282665688544512,7,true,true,35,"(5.51786006579897, 1.7345051199479816e-11)",35,"(5.794851723746207, 4.110407860353877e-11)",35,"(5.51786006548046, 1.4978490347660356e-13)"
40,28,2,Mosek,64.53241242282093,7,true,true,40,"(5.570275087306288, 4.267602853056805e-11)",40,"(4.959896194343194, 4.476526195824177e-11)",40,"(5.570275085617684, 1.8408387645005099e-9)"
46,30,2,Mosek,121.7818251773715,7,true,true,46,"(5.413337898724256, 3.8764951050231265e-10)",46,"(4.376329829701944, 4.558964929243677e-10)",46,"(5.413337899040375, 7.457171217965731e-11)"
