m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
2,4,2,Mosek,0.001497570425271988,7,true,true,2,"(23.589117660370256, 9.822897322905423e-12)",2,"(27.342152832719812, 2.931755044159059e-12)",2,"(23.589117644246187, 1.6380998078792633e-9)"
4,6,2,Mosek,0.0012231245636940002,7,true,true,4,"(5.769909508130947, 1.9035734092390853e-12)",4,"(25.07063082523615, 3.217482929077794e-12)",4,"(5.769909450481273, 3.093491523957924e-8)"
5,8,2,Mosek,0.004014834761619568,7,true,true,5,"(6.1305506284318705, 1.6310880339073257e-10)",5,"(13.208165958455037, 2.4269281970288677e-10)",5,"(6.1305505956255315, 1.4383357967662524e-8)"
7,10,2,Mosek,0.01555965282022953,7,true,true,7,"(5.989199622848363, 7.391615555902102e-10)",7,"(11.601923329660377, 7.745905980195606e-10)",7,"(5.989199568691372, 2.6777031094359353e-8)"
10,12,2,Mosek,0.07778061740100384,7,true,true,10,"(5.761381276708669, 5.200274324893823e-10)",10,"(10.632077622354636, 1.7389706177100182e-9)",10,"(5.761381243284556, 2.497748008615989e-8)"
12,14,2,Mosek,0.12561415135860443,7,true,true,12,"(5.832821497048178, 1.075844544893115e-10)",12,"(7.742316700623007, 1.174036417826067e-10)",12,"(5.832821496192689, 6.561903555737198e-11)"
15,16,2,Mosek,0.24957358092069626,7,true,true,15,"(5.818855716289543, 1.9714695202192814e-12)",15,"(6.9380015416040575, 1.9342786409538633e-12)",15,"(5.818855711368326, 4.530618436841063e-9)"
19,18,2,Mosek,0.507409481331706,7,true,true,19,"(5.6871235216941765, 8.45843368207707e-10)",19,"(6.661148607569857, 2.0433531377306034e-9)",19,"(5.6871235221093865, 2.838194669514742e-10)"
22,20,2,Mosek,1.8615762684494257,7,true,true,22,"(5.740229517112162, 1.27220750987302e-9)",22,"(4.780699176525837, 1.281925809796868e-9)",22,"(5.740229514506138, 3.850717693513191e-9)"
26,22,2,Mosek,4.461947914212942,7,true,true,26,"(5.674159540107788, 4.311282913867417e-10)",26,"(3.964271798137151, 3.3778199719158364e-10)",26,"(5.674159534116337, 3.9712392888087325e-9)"
31,24,2,Mosek,9.848209854215384,7,true,true,31,"(5.588877205618826, 6.150145736846638e-10)",31,"(4.80994176483482, 1.0043198928173232e-9)",31,"(5.588877207092739, 6.763917152745644e-12)"
35,26,2,Mosek,26.33283569663763,7,true,true,35,"(5.602263312864517, 8.153045914985643e-10)",35,"(4.927341777677402, 2.4791831091912185e-9)",35,"(5.602263314193689, 3.502277922471662e-13)"
40,28,2,Mosek,51.54381118901074,7,true,true,40,"(5.589219022918456, 1.3207991823657601e-11)",40,"(5.066976349795005, 1.3141832434748314e-11)",40,"(5.589219005054263, 1.3090546923985178e-8)"
46,30,2,Mosek,112.46497614867985,7,true,true,46,"(5.473571651896028, 9.052833957005107e-11)",46,"(4.179844284297167, 9.208540992904553e-11)",46,"(5.473571650556285, 1.2248896175759024e-9)"
