m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
2,3,2,Mosek,0.0020326822996139526,5,false,true,4,"(0.00043295504184360064, 5.2220283762514944e-11)",4,"(0.2959069353764493, 2.6119326821954153e-8)",2,"(0.015001378261991744, 8.096331110799258e-10)"
2,4,2,Mosek,0.0021860022097826004,5,true,true,2,"(0.09339813136145374, 3.436949169704552e-11)",2,"(0.12084280961022591, 5.034911183485736e-11)",2,"(0.09339813151736687, 3.342579341191636e-10)"
3,5,2,Mosek,0.00334232859313488,5,true,true,3,"(0.157251106842141, 3.0943322928997443e-10)",3,"(0.0493700087992477, 1.3342130171523132e-10)",3,"(0.15725110692268007, 4.011419806521671e-11)"
4,6,2,Mosek,0.01009172759950161,5,true,true,4,"(0.05982757152614122, 1.1329747104440172e-10)",4,"(0.024986869719614044, 6.388865099956372e-11)",4,"(0.05982757163693187, 5.396632244728418e-13)"
5,7,2,Mosek,0.021248672157526016,5,true,true,5,"(0.08663614318203658, 1.0166005579150915e-9)",5,"(0.014799130043227537, 8.897307642612492e-11)",5,"(0.08663614367903152, 3.2443270519630935e-12)"
5,8,2,Mosek,0.04010835103690624,5,true,true,5,"(0.052059657405592145, 6.377215470507772e-11)",5,"(0.045861809485546676, 4.4886470883649975e-11)",5,"(0.052059657381754026, 1.740321584817793e-10)"
6,9,2,Mosek,0.08425226993858814,5,true,true,6,"(0.08497332787989571, 1.4989490648374767e-10)",6,"(0.02776072356061325, 5.6614592157866024e-11)",6,"(0.08497332795409697, 4.057561151876348e-12)"
7,10,2,Mosek,0.11386505141854286,5,true,true,7,"(0.09291886970266548, 9.411508998206067e-10)",7,"(0.039303940463677425, 4.2592194292918094e-10)",7,"(0.09291887056512126, 4.614873564980617e-12)"
9,11,2,Mosek,0.22669420391321182,5,true,true,9,"(0.054190736067624506, 2.4199209979134256e-10)",9,"(0.010962056889294714, 2.3745287657453135e-10)",9,"(0.05419073603437644, 2.3003145615454553e-10)"
10,12,2,Mosek,0.36161028780043125,5,true,true,10,"(0.05522552939222202, 3.5691777659115983e-10)",10,"(0.013416402903259803, 3.324258752845561e-10)",10,"(0.05522552963727189, 8.304095445984834e-13)"
11,13,2,Mosek,1.1893590316176414,5,true,true,11,"(0.0693396790305158, 1.9836805880372856e-11)",11,"(0.011469949570060799, 1.3688628944638608e-11)",11,"(0.069339679031503, 1.2719302802419433e-11)"
12,14,2,Mosek,1.1025333907455206,5,true,true,12,"(0.07122436309113328, 6.731430750813864e-11)",12,"(0.018247855702540672, 5.1192623115215146e-11)",12,"(0.07122436307408181, 9.490260044829103e-11)"
14,15,2,Mosek,2.0103253182023764,5,true,true,14,"(0.054502967543936305, 2.1536533453866052e-10)",14,"(0.014270205777054444, 1.9339996920218833e-10)",14,"(0.054502967641192106, 5.1154129154756655e-12)"
15,16,2,Mosek,4.550790786743164,5,true,true,15,"(0.04106419161844158, 2.687597054824893e-10)",15,"(0.008806567046104132, 1.3528047571349652e-10)",15,"(0.041064191799176857, 2.7474625487977806e-12)"
17,17,2,Mosek,9.027185160666704,5,true,true,17,"(0.05606554528110579, 5.4126945455571106e-12)",17,"(0.018055022282089526, 8.152321362589563e-12)",17,"(0.0560655452803875, 6.197949417761169e-12)"
19,18,2,Mosek,14.03257548995316,5,true,true,19,"(0.04127590674380516, 4.466263887545841e-12)",19,"(0.01842677470484227, 2.4937252915055997e-12)",19,"(0.041275906746523386, 1.3136933458126126e-12)"
21,19,2,Mosek,19.275670886039734,5,true,true,21,"(0.04585604609479231, 5.177854263215723e-11)",21,"(0.018204173886803503, 3.2086909079437335e-11)",21,"(0.04585604612608415, 5.492844694735072e-12)"
22,20,2,Mosek,45.52433384396136,5,true,true,22,"(0.04318774539901401, 3.770808318453006e-12)",22,"(0.018590933946242137, 5.7744881557113785e-12)",22,"(0.043187745401504975, 4.3588497429660374e-14)"
