m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
4,3,2,Mosek,0.0014828145503997803,3,false,true,6,"(0.007114832927129375, -Inf)",6,"(Inf, 2.073406844784775e-9)",3,"(0.13098606978354377, 1.2897656105209471e-8)"
5,4,2,Mosek,0.0010539423674345016,3,false,true,10,"(0.002961299393245369, -Inf)",10,"(Inf, 8.982698034724444e-12)",6,"(0.025937244658977142, 3.358419076777131e-11)"
7,5,2,Mosek,0.0021396316587924957,3,false,true,15,"(0.003419837509028662, -Inf)",15,"(Inf, 5.690235013452999e-12)",8,"(0.009414597043894734, 2.0911293135692742e-11)"
10,6,2,Mosek,0.004102675244212151,3,false,true,21,"(0.0009222347704319966, -Inf)",21,"(Inf, 2.4137494828704293e-11)",11,"(0.013904549414309908, 3.847549249826101e-11)"
12,7,2,Mosek,0.010006649419665337,3,false,true,28,"(0.0024030722385015783, -Inf)",28,"(Inf, 6.716905564599336e-11)",14,"(0.007360698173898326, 3.53207562756642e-11)"
15,8,2,Mosek,0.0401347354054451,3,false,true,36,"(0.0017859994984127817, -Inf)",36,"(Inf, 1.2115309997695433e-9)",17,"(0.016993912335994434, 6.182836118300032e-9)"
19,9,2,Mosek,0.031199602410197258,3,false,true,45,"(0.0029262802066803636, -Inf)",45,"(Inf, 1.4295841948126382e-14)",21,"(0.0061998707851881035, 1.0079178648376207e-10)"
22,10,2,Mosek,0.05200712941586971,3,false,true,55,"(0.0021857093804752395, -Inf)",55,"(Inf, 1.2646559152888097e-14)",24,"(0.00588086424668006, 1.3943312994626145e-10)"
26,11,2,Mosek,0.11119607277214527,3,false,true,66,"(0.0029230069327636408, -Inf)",66,"(Inf, 6.751036160332258e-12)",29,"(0.004020124755239976, 1.974913300267776e-9)"
31,12,2,Mosek,0.20922940410673618,3,false,true,78,"(0.0023398966941210212, -Inf)",78,"(Inf, 1.698580128325067e-11)",35,"(0.002310090311972223, 3.139547742158111e-10)"
35,13,2,Mosek,0.3784286994487047,3,false,true,91,"(0.0017534942247928616, -Inf)",91,"(Inf, 1.1958886874165174e-11)",39,"(0.0006114350810140269, 1.9476948381638708e-10)"
40,14,2,Mosek,0.7961889803409576,3,false,false,104,"(0.002578492021847241, 0.00047219556355989126)",105,"(Inf, 1.9563320288724738e-14)",44,"(0.0024240790474857085, 4.604269163681082e-9)"
46,15,2,Mosek,1.490686234086752,3,false,true,120,"(0.0027965239387619484, -Inf)",120,"(Inf, 1.6940399103009124e-15)",50,"(0.003482222706969293, 3.214028989377104e-12)"
51,16,2,Mosek,2.4658967182040215,3,false,true,136,"(0.002596921619755531, -Inf)",136,"(Inf, 4.9061867808243e-13)",58,"(0.002438736403768625, 2.6000492269750324e-9)"
57,17,2,Mosek,4.5065581407397985,3,false,true,153,"(0.0025094440911324852, -Inf)",153,"(Inf, 5.944881190953223e-14)",63,"(0.0033793077064364486, 3.0416143054065926e-9)"
64,18,2,Mosek,7.614902185276151,3,false,true,171,"(0.0017624049550462836, -Inf)",171,"(Inf, 3.32159388424091e-12)",70,"(0.001504948394922271, 0.00020923637311077187)"
70,19,2,Mosek,15.032876692712307,3,false,true,190,"(0.001431499626967921, -Inf)",190,"(Inf, 8.157322153445056e-11)",77,"(0.0011241856042304252, 6.888174012454628e-10)"
77,20,2,Mosek,21.926401928067207,3,false,true,210,"(0.0016702363937621104, -Inf)",210,"(Inf, 9.73017174846298e-10)",86,"(0.000978392027433144, 4.136181924048953e-9)"
