m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
2,3,2,Mosek,0.0020068325102329254,5,true,true,2,"(0.6999885265796446, 1.344144005090015e-12)",2,"(0.5736270308348898, 1.03515103268487e-12)",2,"(0.6999885263257901, 6.319799324484725e-11)"
2,4,2,Mosek,0.0017263926565647125,5,true,true,2,"(4.914060879581348, 2.3978054240900077e-11)",2,"(0.600903923945587, 5.2709975194749584e-12)",2,"(4.9140608792191545, 2.2244621726430677e-10)"
3,5,2,Mosek,0.004341719672083855,5,true,true,3,"(13.605318264893725, 6.796480029055191e-12)",3,"(0.9886361957244151, 5.358653457658121e-13)",3,"(13.605318264808934, 8.624352257230009e-11)"
4,6,2,Mosek,0.011644218116998672,5,true,true,4,"(15.350348136762298, 2.3237961226349533e-12)",4,"(3.3658827837818666, 5.667230560059e-13)",4,"(15.350348136987346, 3.0071677034678754e-12)"
5,7,2,Mosek,0.03177755884826183,5,true,true,5,"(18.362468921926553, 1.2379859770273588e-11)",5,"(2.3562590895967896, 1.9373846448166474e-12)",5,"(18.362468922263133, 1.3400958213640471e-11)"
5,8,2,Mosek,0.0958763100206852,5,true,true,5,"(39.9239007026176, 4.435353318445776e-11)",5,"(2.9914708256166205, 5.2586405296959845e-12)",5,"(39.92390070588931, 1.8005707856191625e-11)"
6,9,2,Mosek,0.11060059815645218,5,true,true,6,"(34.637520333222774, 8.56236216167373e-12)",6,"(5.505291452488444, 1.5387154796058012e-12)",6,"(34.63752033327274, 2.2345032077720615e-12)"
7,10,2,Mosek,0.17947704903781414,5,true,true,7,"(58.62266256093866, 3.250146708267605e-11)",7,"(5.643331217442794, 8.732079224520467e-12)",7,"(58.62266256112703, 2.4342261596973277e-10)"
9,11,2,Mosek,0.31057723239064217,5,true,true,9,"(55.78893264193617, 1.4464736928481585e-10)",9,"(7.241122101691014, 5.0885176104810665e-11)",9,"(55.788932647890356, 4.1890226884856824e-12)"
10,12,2,Mosek,0.45599699951708317,5,true,true,10,"(59.95187189524077, 9.05563461720666e-9)",10,"(9.786958700936731, 1.2939660174721872e-9)",10,"(59.95187192805237, 4.741324637061424e-11)"
11,13,2,Mosek,0.831648226827383,5,true,true,11,"(84.23724400082743, 4.629293015577713e-9)",11,"(24.598994298881056, 4.0826682602274074e-10)",11,"(84.23724369852619, 3.1454968698668346e-8)"
12,14,2,Mosek,1.6412725541740656,5,true,true,12,"(100.0555595522805, 4.460948581255282e-10)",12,"(18.368526217480944, 4.587713929829479e-11)",12,"(100.0555595050712, 7.556886244885114e-9)"
14,15,2,Mosek,2.684244843199849,5,true,true,14,"(113.6890039584979, 9.176768584134353e-10)",14,"(30.56665864515272, 9.495617749545225e-11)",14,"(113.68900396296452, 1.1589182037508046e-10)"
15,16,2,Mosek,4.522270172834396,5,true,true,15,"(114.92384489487407, 3.569604604514969e-11)",15,"(27.60904185779045, 3.4523794303739383e-12)",15,"(114.92384490069536, 1.120623520883781e-10)"
17,17,2,Mosek,9.315168747678399,5,true,true,17,"(147.34607931622466, 1.0017078219344998e-8)",17,"(42.48902541374414, 9.69646287945064e-10)",17,"(147.34607952568533, 7.540052624652618e-10)"
19,18,2,Mosek,21.964702071622014,5,true,true,19,"(154.69029812052554, 2.53998364534786e-9)",19,"(29.809447785327936, 5.993604788151454e-10)",19,"(154.69029571747544, 2.727907653614407e-9)"
21,19,2,Mosek,32.542311787605286,5,true,true,21,"(182.9858734711103, 1.9020108175967943e-9)",21,"(40.51118391925864, 2.949840999285637e-10)",21,"(182.98587339087962, 9.134098539792156e-9)"
22,20,2,Mosek,52.55332672595978,5,true,true,22,"(204.20345156880396, 1.0537642580341383e-9)",22,"(52.58980552941747, 1.7908365283537325e-10)",22,"(204.20345082435293, 4.076350078545936e-8)"
24,21,2,Mosek,71.9589174836874,5,true,true,24,"(187.55263482012379, 3.045476934975038e-9)",24,"(55.318797030519164, 5.150014574624134e-10)",24,"(187.55263493068665, 7.8447082140522e-11)"
26,22,2,Mosek,178.20211185142398,5,true,true,26,"(242.67279341640673, 3.6097118009640747e-10)",26,"(50.76705231750419, 4.619873877741422e-11)",26,"(242.67279303555335, 5.738679769130984e-10)"
29,23,2,Mosek,236.40088113211095,5,true,true,29,"(243.31753403516686, 7.060476909504475e-10)",29,"(81.23323545533395, 4.181279379951101e-10)",29,"(243.31753405091223, 1.3796621006750702e-10)"
31,24,2,Mosek,481.73740316182375,5,true,true,31,"(274.6585721298828, 2.3739276875457383e-9)",31,"(66.45499887642676, 4.864420594540684e-10)",31,"(274.65857217362503, 3.870268310767673e-9)"
33,25,2,Mosek,490.77167258784175,5,true,true,33,"(294.0353623750303, 9.116390495988967e-10)",33,"(95.45317043885666, 5.766715324733691e-10)",33,"(294.0353624345714, 4.46965282003481e-10)"
35,26,2,Mosek,1125.1162371374667,5,true,true,35,"(331.9490565330854, 9.845695568049866e-12)",35,"(86.62686164565555, 1.5802215184880283e-12)",35,"(331.9490563413094, 8.610238303473153e-11)"
38,27,2,Mosek,1912.6111548990011,5,true,true,38,"(339.3269501580344, 1.7270017209031812e-12)",38,"(52.934519022514806, 1.5386579137715711e-12)",38,"(339.32694881436856, 2.719287124674505e-11)"
40,28,2,Mosek,2026.6854884065688,5,true,true,40,"(387.1490515002096, 3.8992612094897314e-10)",40,"(130.9466985724933, 1.4246569470150234e-10)",40,"(387.14905152998847, 1.7184932550636378e-10)"
