m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
4,3,2,Mosek,0.001476852223277092,3,false,true,6,"(0.5909769702343454, -Inf)",6,"(Inf, 3.1831046865279073e-13)",4,"(1.506186886673189, 6.714236959486927e-11)"
5,4,2,Mosek,0.0012190230190753937,3,false,true,10,"(0.041573698363691416, -Inf)",10,"(Inf, 7.295783888603434e-9)",5,"(1.1156483831063448, 4.501353794373537e-10)"
7,5,2,Mosek,0.0018496662378311157,3,false,true,15,"(0.2781783991065738, -Inf)",15,"(Inf, 5.681486453871011e-11)",8,"(0.5939832314455892, 1.5622103732974704e-9)"
10,6,2,Mosek,0.0037945695221424103,3,false,true,21,"(0.29353357168773714, -Inf)",21,"(Inf, 9.023047204171406e-13)",10,"(0.5906434218612012, 2.4730904636013237e-9)"
12,7,2,Mosek,0.009862832725048065,3,false,true,28,"(0.919340075376291, -Inf)",28,"(Inf, 2.101789356883696e-18)",14,"(2.320680113101855, 1.5341397420335548e-9)"
15,8,2,Mosek,0.022238966077566147,3,false,true,36,"(0.8527916531494856, -Inf)",36,"(Inf, 6.275762988160477e-12)",17,"(0.7972607503145802, 1.9114010418749503e-11)"
19,9,2,Mosek,0.029988065361976624,3,false,true,45,"(0.7862755337205801, -Inf)",45,"(Inf, 2.867563323992438e-15)",22,"(1.0711100108176614, 3.743271344197731e-10)"
22,10,2,Mosek,0.05359366722404957,3,false,true,55,"(0.9657627313915464, -Inf)",55,"(Inf, 2.527781065439691e-17)",25,"(0.6727963045707245, 4.616706404339484e-9)"
26,11,2,Mosek,0.1207069642841816,3,false,true,66,"(1.3472869256827305, -Inf)",66,"(Inf, 1.7786295308134383e-18)",28,"(10.102591383457215, 5.0657676258427183e-8)"
31,12,2,Mosek,0.24276252649724483,3,false,true,78,"(2.3064890999082555, -Inf)",78,"(Inf, 7.99322037111041e-20)",34,"(3.542566244887589, 1.2435974926146727e-10)"
35,13,2,Mosek,0.4326033163815737,3,false,true,91,"(2.5386560922288606, -Inf)",91,"(Inf, 3.9503937664672434e-13)",39,"(2.023243555789582, 1.2692698060668808e-11)"
40,14,2,Mosek,0.8203751537948847,3,false,true,105,"(2.757570846047311, -Inf)",105,"(Inf, 5.413363811603104e-19)",45,"(4.538854348055467, 1.2675013665650118e-8)"
46,15,2,Mosek,1.4807334635406733,3,false,true,120,"(3.3215407371811017, -Inf)",120,"(Inf, 5.660045970123752e-19)",51,"(0.6125644250597176, 1.581566563062661e-10)"
51,16,2,Mosek,2.4575240537524223,3,false,true,136,"(3.4517001338889326, -Inf)",136,"(Inf, 2.1121920259500158e-19)",56,"(10.265802729751687, 4.287127667107062e-9)"
57,17,2,Mosek,4.4967578910291195,3,false,true,153,"(3.2596598397997667, -Inf)",153,"(Inf, 2.8729753844706876e-19)",63,"(2.2645662527937853, 6.664584031175339e-10)"
64,18,2,Mosek,7.636315885931253,3,false,true,171,"(4.053780493430159, -Inf)",171,"(Inf, 1.0479657272216165e-19)",70,"(8.479487111009385, 1.062042538137338e-9)"
70,19,2,Mosek,12.335415698587894,3,false,true,190,"(4.975250220524879, -Inf)",190,"(Inf, 1.348638537282864e-13)",78,"(0.9934261464487709, 1.7065444481591997e-9)"
77,20,2,Mosek,20.86811414361,3,false,true,210,"(5.691336845645146, -Inf)",210,"(Inf, 2.736668998238524e-20)",86,"(5.774351958462232, 4.593461323327673e-10)"
