m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
6,5,2,Mosek,0.003732644021511078,5,false,true,15,"(1.9214669346410037e-5, -Inf)",15,"(Inf, 3.2181501833185685e-11)",8,"(0.007186450613495911, 1.1358161188027942e-11)"
6,5,2,Mosek,0.003489527851343155,5,false,true,15,"(0.00018274560083286398, -Inf)",15,"(Inf, 1.6269349328598018e-8)",7,"(0.021615125722279294, 7.526258197075849e-11)"
6,5,2,Mosek,0.0032740961760282516,5,false,true,15,"(0.00028972098154418164, -Inf)",15,"(Inf, 1.5474336452413606e-8)",7,"(0.03891923588670743, 2.442585031477251e-11)"
6,5,2,Mosek,0.0033661052584648132,5,false,true,15,"(0.00043240894263155973, -Inf)",15,"(Inf, 3.628208515684053e-8)",7,"(0.005655162089671014, 2.5186344244395115e-10)"
6,5,2,Mosek,0.0034948885440826416,5,false,true,15,"(0.0006395016432875206, -Inf)",15,"(Inf, 3.44244742675743e-11)",8,"(0.005853063952464719, 1.4743377265789956e-11)"
6,5,2,Mosek,0.004336388781666756,5,false,true,15,"(0.00016410256671031866, -Inf)",15,"(Inf, 5.020555580593877e-8)",8,"(0.0009433319563328629, 8.302506969350092e-11)"
6,5,2,Mosek,0.006873710080981255,5,false,true,15,"(0.0007301601197771755, -Inf)",15,"(Inf, 1.1879523845246003e-9)",7,"(0.05894499146405702, 2.3760460763071877e-11)"
6,5,2,Mosek,0.003493852913379669,5,false,true,15,"(0.0008575641359821986, -Inf)",15,"(Inf, 7.764828587763366e-14)",7,"(0.047025826324164376, 6.301602731260602e-11)"
6,5,2,Mosek,0.003375273197889328,5,false,true,15,"(0.0011595325272051352, -Inf)",15,"(Inf, 7.162888326462699e-11)",7,"(0.0368650497470742, 8.949545066108118e-11)"
6,5,2,Mosek,0.0033530481159687042,5,false,true,15,"(0.0009912582246021588, -Inf)",15,"(Inf, 7.024826592638089e-12)",8,"(0.012587517965702778, 1.5809309144716163e-11)"
6,5,2,Mosek,0.0033565163612365723,5,false,true,15,"(0.00046314307144474303, -Inf)",15,"(Inf, 2.439953795754921e-10)",7,"(0.021797487283048193, 1.2138977932007963e-9)"
6,5,2,Mosek,0.0033749621361494064,5,false,true,15,"(0.0006460746681245638, -Inf)",15,"(Inf, 8.801119169019927e-10)",7,"(0.030775209774973118, 3.366146875159499e-11)"
6,5,2,Mosek,0.0032622329890727997,5,false,true,15,"(0.000973362850899206, -Inf)",15,"(Inf, 9.210411400640731e-15)",8,"(0.0035882968173391898, 2.535170941108498e-11)"
6,5,2,Mosek,0.003294827416539192,5,false,true,15,"(0.0004035992402401871, -Inf)",15,"(Inf, 6.455984852047838e-12)",8,"(0.0031558997436841978, 1.6272328200460357e-11)"
6,5,2,Mosek,0.0035759415477514267,5,false,true,15,"(0.00016241431209357586, -Inf)",15,"(Inf, 2.0809814422025626e-7)",7,"(0.012492243567024441, 5.823060568334862e-11)"
6,5,2,Mosek,0.003362426534295082,5,false,true,15,"(0.0011318224731507117, -Inf)",15,"(Inf, 1.9251628736794975e-14)",8,"(0.008588117889552428, 3.0585298482127263e-10)"
6,5,2,Mosek,0.003747442737221718,5,false,true,15,"(2.1737420769688666e-5, -Inf)",15,"(Inf, 6.129046574243418e-10)",8,"(0.00015269972589960769, 4.558959735062197e-12)"
6,5,2,Mosek,0.0035035982728004456,5,false,true,15,"(0.00012216516858193686, -Inf)",15,"(Inf, 6.195491281836949e-11)",8,"(0.004871258161534361, 1.728015950236689e-10)"
6,5,2,Mosek,0.0031607653945684433,5,false,true,15,"(0.0004891735626075876, -Inf)",15,"(Inf, 2.5609675081649292e-8)",7,"(0.005929944693036749, 8.69082446810169e-12)"
6,5,2,Mosek,0.002877136692404747,5,false,true,15,"(0.005534143177289278, -Inf)",15,"(Inf, 6.750156896427578e-12)",8,"(0.013651808090118407, 1.3475914128754602e-10)"
