m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
13,14,2,Mosek,1.2618449442088604,5,true,true,13,"(0.06534773967565811, 4.90272745296966e-10)",13,"(0.0136951363879453, 4.180118282623056e-10)",13,"(0.06534773983169058, 1.2644811302912768e-11)"
13,14,2,Mosek,1.7492189891636372,5,true,true,13,"(0.06779746300397252, 2.4486376676184305e-10)",13,"(0.011298350415376518, 1.243222841275178e-10)",13,"(0.06779746308734554, 3.962942719857346e-11)"
13,14,2,Mosek,1.7023199833929539,5,true,true,13,"(0.06331343892385244, 1.0454702675140773e-9)",13,"(0.007289649751120649, 4.552268745466551e-10)",13,"(0.06331343962413437, 1.1973570310228565e-13)"
13,14,2,Mosek,1.8484687265008688,5,true,true,13,"(0.0715901516798497, 5.951748820107666e-12)",13,"(0.013633499573038945, 1.0647174400093653e-12)",13,"(0.07159015167476963, 2.1752395075856742e-11)"
13,14,2,Mosek,1.4787309616804123,5,true,true,13,"(0.06458555811709295, 5.019712728685744e-10)",13,"(0.013226731077468528, 7.320106887157187e-10)",13,"(0.06458555840901062, 4.082492124704061e-14)"
13,14,2,Mosek,1.3148492947220802,5,true,true,13,"(0.06683443386293794, 1.0185270588144237e-12)",13,"(0.017434449180047825, 5.917650809505488e-13)",13,"(0.06683443386125977, 3.5895099459091105e-12)"
13,14,2,Mosek,1.6217963118106127,5,true,true,13,"(0.06175763568389615, 1.9013776990712335e-11)",13,"(0.01459017010909908, 9.210802007964774e-12)",13,"(0.06175763569062489, 6.253654127259871e-14)"
13,14,2,Mosek,1.4950928799808025,5,true,true,13,"(0.06536174640859549, 9.142722476342237e-12)",13,"(0.015247006368076492, 9.135709144171513e-12)",13,"(0.06536174639492717, 3.575493576312997e-11)"
13,14,2,Mosek,1.4289578087627888,5,true,true,13,"(0.060021847501671916, 4.71332769564728e-10)",13,"(0.014792760754918496, 4.758463967967822e-10)",13,"(0.06002184781386707, 6.886666589822052e-11)"
13,14,2,Mosek,1.6242234501987696,5,true,true,13,"(0.061628064626363076, 5.1367157442547825e-11)",13,"(0.014589343383669368, 4.700062700273844e-11)",13,"(0.06162806465410403, 3.5413072365146805e-12)"
13,14,2,Mosek,2.070255819708109,5,true,true,13,"(0.06633404109448231, 2.752468860480415e-11)",13,"(0.015509778507979351, 1.76231521168262e-11)",13,"(0.06633404109950743, 4.081128100515503e-12)"
13,14,2,Mosek,1.4157977644354105,5,true,true,13,"(0.052329073301378246, 1.123821603856296e-11)",13,"(0.014072910081723027, 5.472621425395025e-12)",13,"(0.052329073304160464, 3.9214992309395184e-12)"
13,14,2,Mosek,2.1011003963649273,5,true,true,13,"(0.06515689250970395, 3.1580515382335563e-10)",13,"(0.009913147709909247, 1.6392068706799386e-10)",13,"(0.06515689267221735, 5.9493723786353755e-12)"
13,14,2,Mosek,1.7791460789740086,5,true,true,13,"(0.04623214695486053, 2.271536784137352e-11)",13,"(0.0179817357169999, 2.538323850607971e-11)",13,"(0.0462321468765167, 1.666280907832472e-10)"
13,14,2,Mosek,1.4254124872386456,5,true,true,13,"(0.05409874555410266, 6.117524909919085e-10)",13,"(0.012621673727367827, 6.237184978726469e-10)",13,"(0.054098745952508485, 9.967399105984418e-13)"
13,14,2,Mosek,1.4340121764689684,5,true,true,13,"(0.052515215639968825, 1.1464151246020489e-10)",13,"(0.01232220235381037, 1.8268736801968007e-10)",13,"(0.05251521568310531, 1.5383483173937952e-12)"
13,14,2,Mosek,1.3590835146605968,5,true,true,13,"(0.06291820068372805, 5.611352757820409e-11)",13,"(0.013012986898506973, 3.036209761876405e-11)",13,"(0.06291820069035702, 1.6668984075812503e-11)"
13,14,2,Mosek,1.3808388002216816,5,true,true,13,"(0.04709585564991151, 2.151220589462251e-11)",13,"(0.009716564414028373, 1.567727965226073e-11)",13,"(0.04709585564926093, 7.792533107179118e-12)"
13,14,2,Mosek,1.7671682983636856,5,true,true,13,"(0.06919037325896821, 9.41712693487475e-12)",13,"(0.015076979997309062, 5.676028101835153e-12)",13,"(0.06919037326323885, 7.176757950912527e-13)"
13,14,2,Mosek,1.3999789450317621,5,true,true,13,"(0.05090433631755203, 5.058990217131705e-12)",13,"(0.01570198263956739, 2.496340654047259e-12)",13,"(0.05090433631247431, 2.13747442647146e-11)"
