m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
14,14,2,Mosek,2.13105739839375,5,true,true,14,"(0.052780964355666975, 9.241037210705106e-10)",14,"(0.005862327762777839, 3.5224966330932457e-10)",14,"(0.052780964716867294, 2.9050651268555414e-11)"
14,14,2,Mosek,1.37601756490767,5,true,true,14,"(0.0547381391265498, 2.4336797440584427e-11)",14,"(0.012544644367067776, 1.9262661060870155e-11)",14,"(0.05473813914372469, 1.4623162338578094e-14)"
14,14,2,Mosek,1.154914615675807,5,true,true,14,"(0.05359641232869786, 5.306692973137748e-10)",14,"(0.012195828115419336, 3.8012627872114375e-10)",14,"(0.05359641247572017, 3.908503961848556e-12)"
14,14,2,Mosek,1.4344897270202637,5,true,true,14,"(0.05863275723458979, 1.3959731948645253e-9)",14,"(0.011221234878921162, 6.963013292003814e-10)",14,"(0.058632758156074376, 1.056081337345314e-10)"
14,14,2,Mosek,1.5132880099117756,5,true,true,14,"(0.06353999603109299, 1.5479207472203622e-10)",14,"(0.009985959255261127, 3.3974481993949583e-11)",14,"(0.06353999611285613, 2.182729425523594e-14)"
14,14,2,Mosek,1.3450386691838503,5,true,true,14,"(0.05109501810669846, 3.6351426673007606e-11)",14,"(0.008988350051563542, 2.4877850946641163e-11)",14,"(0.05109501811580027, 1.2282886867121853e-11)"
14,14,2,Mosek,1.3536912351846695,5,true,true,14,"(0.05798345997393509, 1.2509106702229733e-10)",14,"(0.009747584051303961, 5.325384296061931e-11)",14,"(0.057983460039941134, 2.4795260998949417e-14)"
14,14,2,Mosek,2.035160880535841,5,true,true,14,"(0.059838312289459676, 1.4609493935416461e-10)",14,"(0.006436001216180103, 3.979089445934011e-11)",14,"(0.05983831238058474, 3.381815391797831e-14)"
14,14,2,Mosek,1.6906543653458357,5,true,true,14,"(0.05467425074656905, 2.931290378272e-11)",14,"(0.010475941656483913, 3.8211414533992046e-11)",14,"(0.054674250745238503, 1.209872653847738e-11)"
14,14,2,Mosek,1.2359557040035725,5,true,true,14,"(0.06040010141625152, 2.7090737412598467e-11)",14,"(0.010664274401771739, 1.1823725497872221e-11)",14,"(0.06040010142688536, 3.54329073598264e-15)"
14,14,2,Mosek,1.4178832843899727,5,true,true,14,"(0.05475344859181548, 8.147100513902823e-10)",14,"(0.008308895682330815, 4.981594688558021e-10)",14,"(0.05475344916445136, 6.455854414267888e-11)"
14,14,2,Mosek,1.9423810187727213,5,true,true,14,"(0.06549587647634454, 1.0631766582203622e-10)",14,"(0.011577245229065516, 4.1829963031315524e-11)",14,"(0.0654958765482349, 2.660168883577247e-15)"
14,14,2,Mosek,1.5000043325126171,5,true,true,14,"(0.04591434279386551, 2.2773330181133893e-10)",14,"(0.007464003682536411, 1.3950633364790233e-10)",14,"(0.04591434293716067, 7.11445314468204e-15)"
14,14,2,Mosek,1.5441198535263538,5,true,true,14,"(0.04961119884069665, 1.2390710152469934e-10)",14,"(0.007689016617114488, 1.0054332273995209e-10)",14,"(0.04961119885163155, 1.0124790194758529e-10)"
14,14,2,Mosek,1.3738698437809944,5,true,true,14,"(0.052433339282917664, 8.416371143392906e-11)",14,"(0.01422877294945153, 4.1775075633747803e-11)",14,"(0.05243333931724285, 2.0841498339412485e-11)"
14,14,2,Mosek,1.5577111784368753,5,true,true,14,"(0.06238550546101006, 2.5538264729950585e-10)",14,"(0.009915180398061952, 1.265272689234678e-10)",14,"(0.06238550553269872, 9.263785501400758e-11)"
14,14,2,Mosek,1.2196047231554985,5,true,true,14,"(0.05287207341016557, 6.859510933097548e-10)",14,"(0.012132480691091697, 3.9151993822599806e-10)",14,"(0.052872073828204504, 1.60090377101959e-12)"
14,14,2,Mosek,1.3142009787261486,5,true,true,14,"(0.06814273882847774, 1.0935986162102545e-10)",14,"(0.013664459223123523, 7.31923778288667e-11)",14,"(0.0681427388494213, 1.6021470459853463e-11)"
14,14,2,Mosek,1.298437362536788,5,true,true,14,"(0.06196787374221758, 4.089235210528825e-10)",14,"(0.009306192577730217, 1.9453944258905807e-10)",14,"(0.0619678739451679, 4.914837261176074e-13)"
14,14,2,Mosek,1.5720865540206432,5,true,true,14,"(0.05141242566761033, 1.18265739791264e-11)",14,"(0.009948154544147589, 1.1051520628814383e-11)",14,"(0.05141242566940462, 4.155226231679186e-12)"
