m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
5,3,2,Mosek,0.023820413276553154,5,false,true,6,"(0.364638619779035, -Inf)",6,"(Inf, 5.391951486286312e-18)",4,"(0.40166550442771204, 6.61694517629065e-11)"
5,3,2,Mosek,0.0012306701391935349,5,false,true,6,"(0.12756620076104436, -Inf)",6,"(Inf, 8.973305117296637e-15)",4,"(2.404440304409927, 2.5602542662398966e-12)"
5,3,2,Mosek,0.0006376579403877258,5,false,true,6,"(0.18670799584218656, -Inf)",6,"(Inf, 1.868790461838461e-10)",4,"(0.3370170263582574, 5.1338062313611344e-11)"
5,3,2,Mosek,0.0006688199937343597,5,false,true,6,"(0.4749893401789323, -Inf)",6,"(Inf, 5.1198649405900135e-11)",4,"(0.189562947865604, 3.579224045742003e-11)"
5,3,2,Mosek,0.0006940625607967377,5,false,true,6,"(0.32099752079106736, -Inf)",6,"(Inf, 2.2644665691713693e-9)",3,"(2.0856445628847062, 3.739627381810952e-10)"
5,3,2,Mosek,0.0007325150072574615,5,false,true,6,"(0.20442872596535522, -Inf)",6,"(Inf, 1.815853681016988e-15)",3,"(4.008241359910378, 1.2913409104353557e-12)"
5,3,2,Mosek,0.0006653629243373871,5,false,true,6,"(0.5884541053002323, -Inf)",6,"(Inf, 9.56851781542109e-11)",4,"(1.2786220705488134, 6.29075742123977e-11)"
5,3,2,Mosek,0.0008074324578046799,5,false,true,6,"(0.36193620709407187, -Inf)",6,"(Inf, 2.2996350549111845e-9)",4,"(0.5001563326321138, 1.1296492146727923e-10)"
5,3,2,Mosek,0.0008289571851491928,5,false,true,6,"(0.3673386931892697, -Inf)",6,"(Inf, 8.244291169716093e-11)",4,"(2.3789122135431335, 7.889541857142341e-11)"
5,3,2,Mosek,0.0006807614117860794,5,false,true,6,"(1.1896408918376213, -Inf)",6,"(Inf, 2.7416271375437617e-17)",4,"(2.420853903635214, 1.793238280748121e-11)"
5,3,2,Mosek,0.0006610061973333359,5,false,true,6,"(0.7589693324152095, -Inf)",6,"(Inf, 1.1644519571421312e-11)",3,"(5.848707074420105, 2.1205560269399745e-11)"
5,3,2,Mosek,0.000712081789970398,5,false,true,6,"(0.4239718659478837, -Inf)",6,"(Inf, 6.095544338068164e-12)",4,"(2.4519725339193075, 2.474357947564314e-10)"
5,3,2,Mosek,0.0006764102727174759,5,false,true,6,"(0.8797589436634786, -Inf)",6,"(Inf, 3.580828069276644e-11)",4,"(0.2478254495559613, 1.4578167662962263e-10)"
5,3,2,Mosek,0.000835830345749855,5,false,true,6,"(0.369213372525133, -Inf)",6,"(Inf, 2.0641317679243347e-11)",4,"(0.8429138410590802, 7.214055877567453e-11)"
5,3,2,Mosek,0.000764898955821991,5,false,true,6,"(0.1036855091673536, -Inf)",6,"(Inf, 4.060772035553986e-10)",3,"(2.248169316705461, 2.4510537825532253e-11)"
5,3,2,Mosek,0.0007789228111505508,5,false,true,6,"(0.0952808558610345, -Inf)",6,"(Inf, 2.859155757317256e-16)",3,"(2.041395433449004, 4.579087934774053e-10)"
5,3,2,Mosek,0.0007599536329507828,5,false,true,6,"(0.12768756040529214, -Inf)",6,"(Inf, 1.8163652145473538e-13)",3,"(1.9937641784490139, 1.000830752597609e-11)"
5,3,2,Mosek,0.0007609222084283829,5,false,true,6,"(0.6385128746051727, -Inf)",6,"(Inf, 2.1014608083514947e-10)",4,"(0.442563620807985, 4.568020635970641e-11)"
5,3,2,Mosek,0.0006579998880624771,5,false,true,6,"(0.41565283401992237, -Inf)",6,"(Inf, 5.0386658462369467e-11)",4,"(2.4306500758868275, 9.325453756541404e-11)"
5,3,2,Mosek,0.0007028672844171524,5,false,true,6,"(1.1091167110846478, -Inf)",6,"(Inf, 1.7541719698767304e-14)",4,"(1.7187726204562794, 1.2282770834109974e-10)"
