m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
3,4,2,Mosek,0.0019601136445999146,5,false,true,6,"(0.026237611423748263, 2.7788507305358427e-11)",6,"(1.8860992306669793, 7.626446409028509e-10)",5,"(0.02710130717841695, 2.0015063896614673e-7)"
3,4,2,Mosek,0.0025155115872621536,5,false,true,8,"(0.05392557094331628, 4.66679374846438e-12)",8,"(6.176836468700512, 3.0740448775208156e-10)",5,"(0.5970198800199433, 1.1744564542139503e-6)"
3,4,2,Mosek,0.0025868136435747147,5,true,true,3,"(7.221274203495936, 2.171527768412461e-12)",3,"(2.017274218325489, 1.0303433385506055e-12)",3,"(7.221274203970549, 1.479528961018936e-11)"
3,4,2,Mosek,0.002676723524928093,5,false,true,6,"(0.0032156649774276566, 1.0938967591343351e-11)",6,"(6.777139718531041, 4.8820985042543564e-9)",5,"(0.06098215792804865, 3.830939218299367e-7)"
3,4,2,Mosek,0.0029051024466753006,5,false,true,6,"(0.01638786474495373, 2.0600332859206294e-12)",6,"(7.300242892760083, 2.473893561137143e-10)",5,"(0.14490953823913313, 1.8520246531874005e-7)"
3,4,2,Mosek,0.002860346809029579,5,false,true,6,"(0.004093032680980737, 5.166282584937454e-12)",6,"(1.8408953325943955, 1.075969947210289e-9)",3,"(9.043924791987614, 1.244016984499796e-11)"
3,4,2,Mosek,0.002889920026063919,5,true,true,3,"(3.296279858619985, 1.1692358770260876e-9)",3,"(0.13074205821779675, 2.3783221522361412e-11)",3,"(3.296279858708856, 1.4380772978978655e-9)"
3,4,2,Mosek,0.002771172672510147,5,true,true,3,"(4.295037062154861, 1.9372068663875596e-11)",3,"(0.2435264169642445, 7.86419099933587e-12)",3,"(4.295037061534256, 1.142471327098369e-10)"
3,4,2,Mosek,0.002602187916636467,5,true,true,3,"(6.794686409140378, 3.9734194470975405e-11)",3,"(1.2375292223402503, 1.658773574058782e-11)",3,"(6.794686409416332, 8.2145427531362e-12)"
3,4,2,Mosek,0.0031502526253461838,5,true,true,3,"(1.6847610372349882, 4.061283566715993e-13)",3,"(0.9136963671014915, 4.898843208632807e-13)",3,"(1.6847610363160808, 4.137016081291053e-12)"
3,4,2,Mosek,0.003424292430281639,5,false,true,6,"(0.01540892855136188, 4.435668757229408e-12)",6,"(6.035483284905209, 4.956170637273562e-10)",5,"(0.11612883717051044, 6.932692191805474e-8)"
3,4,2,Mosek,0.0026022344827651978,5,false,true,6,"(0.026188182899177674, 2.209829641239609e-11)",6,"(1.958513497077009, 3.530426015360284e-10)",3,"(7.175616661515259, 1.66995299095369e-10)"
3,4,2,Mosek,0.0029119327664375305,5,false,true,6,"(0.007505952521606624, 5.589146608919854e-12)",6,"(4.051104395612832, 1.1343377281563902e-9)",5,"(0.015833682395745896, 9.087717342876394e-8)"
3,4,2,Mosek,0.003244588151574135,5,true,true,3,"(4.2424576653273265, 2.745148760059893e-11)",3,"(0.3032963749124082, 1.6637443399841494e-12)",3,"(4.242457665130989, 1.2635655545290126e-10)"
3,4,2,Mosek,0.002746647223830223,5,true,true,6,"(0.3892649413889962, 6.0125943881643674e-12)",6,"(1.0853801556568878, 1.458349620745708e-11)",6,"(8.04974206762876e-6, 8.482633234047736e-11)"
3,4,2,Mosek,0.002494256943464279,5,false,true,6,"(0.00932362028978772, 2.6154982228844804e-11)",6,"(1.331802857517298, 6.708169236630008e-10)",3,"(2.8783761428376295, 2.5442791963447303e-10)"
3,4,2,Mosek,0.00249682180583477,5,false,true,8,"(0.005755644951248316, 9.88051462233754e-12)",8,"(3.403905993851041, 2.7302139895595383e-9)",3,"(6.4650761503324174, 4.288891227351059e-11)"
3,4,2,Mosek,0.002877436578273773,5,false,true,6,"(0.0002453916183613085, 1.4439035570406534e-11)",6,"(5.022656391518157, 9.995636010925814e-8)",5,"(0.07597561022034975, 1.8386149993297026e-8)"
3,4,2,Mosek,0.0025211796164512634,5,false,true,8,"(0.008761667048059148, 9.384439151222991e-12)",8,"(5.289064416417134, 1.9331218788117717e-9)",5,"(0.02571918381805616, 1.793291403235627e-7)"
3,4,2,Mosek,0.002457674592733383,5,true,true,3,"(4.2455219654529275, 2.3896500339360357e-11)",3,"(2.513416579052549, 1.8294546668922727e-11)",3,"(4.245521962944459, 1.1063983524068708e-10)"
