m,n,k,solver,solve_time,digits,uniquely_sos_representable,dual_nondegenerate,dim_sosupp,spectral_gap_G,corank_dual,spectral_gap_M_E,rank_G_boundary,spectral_gap_G_boundary
8,8,2,Mosek,0.03421112336218357,5,false,true,36,"(7.962955762308873e-5, -Inf)",36,"(Inf, 2.6922253331361775e-9)",15,"(0.01181432118486388, 2.537351930207713e-11)"
8,8,2,Mosek,0.043057527393102646,5,false,true,36,"(9.558619241613863e-5, -Inf)",36,"(Inf, 4.0688751259790534e-18)",15,"(0.11513635307007598, 1.1689253173580501e-9)"
8,8,2,Mosek,0.045840686187148094,5,false,true,36,"(0.0006645838717893339, -Inf)",36,"(Inf, 2.5536709288480095e-11)",16,"(0.11189346517222419, 8.622254119216875e-11)"
8,8,2,Mosek,0.05053763836622238,5,true,true,8,"(12.835592635844659, 1.4909769648550518e-10)",8,"(0.8310056286238745, 8.230630666132018e-12)",8,"(12.835592631392142, 7.017689931279437e-9)"
8,8,2,Mosek,0.04925342835485935,5,false,true,36,"(1.7302391882449056e-5, -Inf)",36,"(Inf, 1.5262563351286823e-8)",15,"(0.03332119341769344, 8.326363880051453e-11)"
8,8,2,Mosek,0.029838986694812775,5,false,true,36,"(0.0021766916799599197, -Inf)",36,"(Inf, 1.7394894258430517e-9)",15,"(0.9881148402860651, 1.4064902475579574e-8)"
8,8,2,Mosek,0.04405537433922291,5,false,true,35,"(0.0002440483555681518, 2.1772639435243154e-12)",35,"(18.953254135754694, 3.3154724268322686e-8)",17,"(5.128011388287218e-6, 2.999503035143964e-6)"
8,8,2,Mosek,0.03772309422492981,5,false,true,36,"(0.00011316754798361355, -Inf)",36,"(Inf, 4.537385860385982e-12)",15,"(0.04368955162938398, 2.2499031121209116e-9)"
8,8,2,Mosek,0.0675117801874876,5,false,true,35,"(0.0010194692908079882, 1.0087553063630983e-9)",35,"(6.535909703916457, 1.9652258611623672e-7)",16,"(0.07002640324404896, 1.1794815026008421e-7)"
8,8,2,Mosek,0.05813022889196873,5,false,true,36,"(5.290272383085043e-5, -Inf)",36,"(Inf, 7.838536269300305e-16)",16,"(0.06289554900779101, 1.0742228339160398e-11)"
8,8,2,Mosek,0.036485929042100906,5,false,true,36,"(0.00015888782060035863, -Inf)",36,"(Inf, 6.0146769198303955e-18)",16,"(0.007271505328425834, 1.880573038613416e-9)"
8,8,2,Mosek,0.04415026865899563,5,false,true,36,"(1.9843449842082685e-5, -Inf)",36,"(Inf, 1.0920292552016622e-14)",15,"(0.10685975867844234, 3.2612825150233515e-12)"
8,8,2,Mosek,0.030093559995293617,5,false,true,36,"(0.00038098557220424636, -Inf)",36,"(Inf, 3.196549106979005e-8)",16,"(0.04833790033149513, 4.1343218378216864e-11)"
8,8,2,Mosek,0.042147982865571976,5,false,false,34,"(8.758092964055426e-6, 4.56792945654775e-6)",36,"(Inf, 9.702342411118664e-7)",16,"(0.001737228924649125, 3.8953593628508746e-11)"
8,8,2,Mosek,0.026189716532826424,5,false,true,36,"(0.0005331485946222479, -Inf)",36,"(Inf, 2.7185944226920755e-7)",15,"(0.6007932180171881, 2.482480762920324e-10)"
8,8,2,Mosek,0.04791717603802681,5,false,true,36,"(1.9379203726598473e-5, -Inf)",36,"(Inf, 6.722974596777009e-32)",15,"(0.18536684437706338, 2.386059929172788e-10)"
8,8,2,Mosek,0.029039179906249046,5,false,true,36,"(0.000375404677920856, -Inf)",36,"(Inf, 7.149057575034488e-7)",15,"(0.6671240856758873, 3.1292290441744384e-8)"
8,8,2,Mosek,0.03977343812584877,5,false,true,36,"(0.00027407116518497895, -Inf)",36,"(Inf, 2.8962738826927457e-15)",15,"(1.541688764322325, 1.357507401009294e-10)"
8,8,2,Mosek,0.05868709832429886,5,true,true,8,"(22.661930447096246, 6.193953351905801e-9)",8,"(0.0229644797515589, 2.5291391622597323e-11)",8,"(22.66193044701224, 5.021466993736932e-10)"
8,8,2,Mosek,0.05678538791835308,5,false,true,36,"(0.0002960418683788997, -Inf)",36,"(Inf, 9.535267728695737e-35)",15,"(0.13303680101255225, 3.130101559669011e-10)"
